hospitalId, hospitalLocation, capacity, assignmentCount, filledPercentage, preferences, assignments, assignmentRanks
H121, 48, 5, 1, 0.2, R395 R258 R404 R349 R442 R36 R178 R261 R225 R14 R2 R491 R185 R281 R426, R369, -1
H122, 19, 4, 2, 0.5, R439 R288 R376 R385 R408 R326 R202 R235 R351 R169 R402 R95 R46 R187 R338, R496 R356, -1 -1
H123, 48, 1, 1, 1.0, R445 R267 R341 R285 R147 R425 R22 R6 R426 R439 R87 R322 R394 R111 R130, R267, 1
H124, 17, 4, 4, 1.0, R71 R493 R26 R40 R279 R16 R168 R276 R395 R208 R240 R443 R157 R278 R260, R16 R120 R232 R278, 5 -1 -1 13
H125, 40, 4, 1, 0.25, R403 R483 R135 R20 R318 R11 R260 R251 R413 R105 R418 R240 R375 R447 R350, R418, 10
H126, 0, 2, 2, 1.0, R332 R446 R33 R183 R234 R21 R207 R304 R219 R469 R430 R40 R449 R485 R388, R219 R52, 8 -1
H127, 26, 1, 1, 1.0, R0 R311 R255 R46 R401 R320 R93 R452 R360 R285 R494 R446 R253 R344 R160, R494, 10
H128, 15, 4, 0, 0.0, R162 R190 R290 R328 R62 R300 R475 R447 R230 R135 R410 R50 R95 R425 R32, , 
H129, 45, 4, 2, 0.5, R65 R323 R84 R138 R245 R410 R331 R312 R152 R28 R225 R196 R351 R221 R118, R84 R221, 2 13
H130, 2, 4, 4, 1.0, R373 R438 R458 R366 R14 R89 R368 R441 R112 R383 R32 R152 R184 R45 R190, R14 R269 R373 R45, 4 -1 0 13
H131, 15, 5, 5, 1.0, R35 R410 R47 R248 R466 R452 R409 R90 R114 R132 R258 R446 R174 R216 R388, R174 R90 R35 R476 R410, 12 7 0 -1 1
H132, 19, 5, 3, 0.6, R371 R138 R10 R51 R142 R436 R258 R350 R317 R22 R486 R457 R58 R20 R260, R436 R317 R58, 5 8 12
H133, 13, 2, 2, 1.0, R129 R150 R154 R76 R326 R337 R161 R141 R68 R212 R44 R408 R323 R472 R459, R337 R161, 5 6
H134, 20, 2, 2, 1.0, R476 R369 R438 R308 R440 R143 R460 R416 R115 R300 R102 R385 R311 R295 R60, R242 R440, -1 4
H135, 37, 4, 0, 0.0, R346 R199 R5 R62 R396 R367 R321 R173 R113 R385 R413 R225 R431 R57 R126, , 
H136, 43, 4, 1, 0.25, R167 R422 R165 R91 R145 R374 R291 R142 R398 R198 R353 R334 R486, R353, 10
H137, 6, 2, 1, 0.5, R374 R41 R318 R278 R237 R297 R240 R202 R15 R103 R368 R122 R311 R259 R40, R240, 6
H138, 4, 1, 1, 1.0, R142 R213 R384 R485 R416 R116 R53 R1 R272 R123 R301 R311 R391 R329 R486, R416, 4
H139, 17, 3, 2, 0.6666667, R429 R189 R241 R165 R85 R449 R108 R22 R215 R212 R278 R100 R355 R214 R299, R215 R429, 8 0
H140, 45, 1, 1, 1.0, R212 R149 R216 R199 R241 R302 R201 R367 R140 R109 R242 R257 R4 R156 R323, R140, 8
H141, 28, 4, 4, 1.0, R217 R303 R25 R108 R339 R333 R197 R370 R130 R215 R377 R89 R433 R278 R191, R377 R370 R67 R97, 10 7 -1 -1
H142, 25, 2, 0, 0.0, R42 R378 R114 R68 R240 R288 R354 R169 R75 R157 R231 R186 R275 R328 R52, , 
H143, 39, 1, 1, 1.0, R407 R436 R343 R389 R482 R94 R384 R65 R322 R277 R260 R228 R187 R342 R207, R384, 6
H144, 10, 4, 4, 1.0, R124 R138 R88 R382 R78 R443 R146 R469 R361 R70 R200 R495 R28 R53 R54, R146 R54 R138 R124, 6 14 1 0
H145, 24, 1, 1, 1.0, R318 R280 R163 R246 R168 R232 R473 R84 R370 R103 R71 R98 R475 R248 R182, R318, 0
H146, 3, 3, 2, 0.6666667, R205 R88 R34 R256 R432 R363 R251 R212 R470 R455 R222 R292 R398 R47 R415, R6 R205, -1 0
H147, 32, 2, 1, 0.5, R274 R134 R132 R487 R419 R349 R310 R365 R265 R32 R99 R66 R78 R435 R159, R487, 3
H148, 7, 5, 2, 0.4, R341 R417 R148 R232 R22 R274 R367 R416 R447 R25 R14 R135 R72 R284 R162, R135 R291, 11 -1
H149, 47, 1, 0, 0.0, R90 R287 R474 R290 R395 R29 R158 R405 R121 R406 R381 R215 R364 R163 R119, , 
H150, 1, 1, 1, 1.0, R141 R323 R80 R144 R395 R287 R154 R353 R179 R244 R52 R373 R424 R54 R421, R338, -1
H151, 45, 2, 0, 0.0, R56 R316 R407 R400 R485 R123 R169 R319 R447 R346 R494 R81 R137, , 
H152, 26, 1, 0, 0.0, R462 R99 R282 R424 R393 R90 R486 R86 R174 R343 R485 R284 R421 R301 R300, , 
H153, 4, 3, 1, 0.33333334, R464 R8 R283 R80 R88 R167 R1 R379 R402 R46 R241 R65 R449 R115 R129, R241, 10
H154, 39, 1, 0, 0.0, R168 R490 R77 R8 R403 R422 R261 R265 R252 R464 R304 R158 R446 R25 R277, , 
H155, 28, 5, 3, 0.6, R48 R64 R414 R300 R435 R65 R408 R325 R481 R305 R9 R104 R498 R378 R430, R223 R48 R190, -1 0 -1
H156, 16, 5, 2, 0.4, R106 R47 R112 R269 R179 R489 R351 R420 R477 R93 R116 R64 R471 R26 R230, R116 R230, 10 14
H157, 45, 5, 1, 0.2, R57 R40 R172 R412 R15 R397 R256 R81 R104 R18 R103 R498 R133 R7 R452, R104, 8
H158, 36, 3, 1, 0.33333334, R287 R493 R373 R109 R479 R335 R272 R62 R483 R294 R175 R160 R494 R88 R22, R88, 13
H159, 32, 3, 3, 1.0, R399 R6 R162 R363 R27 R166 R287 R418 R258 R339 R293 R142 R78 R131 R428, R343 R78 R428, -1 12 14
H160, 46, 4, 3, 0.75, R156 R334 R71 R253 R90 R459 R243 R192 R232 R158 R370 R134 R141 R279 R427, R156 R85 R243, 0 -1 6
H161, 8, 3, 3, 1.0, R361 R101 R360 R247 R257 R189 R336 R73 R207 R322 R320 R231 R238 R142 R494, R238 R400 R332, 12 -1 -1
H162, 26, 1, 0, 0.0, R320 R205 R235 R145 R228 R461 R307 R326 R312 R34 R497 R335 R438 R187 R117, , 
H163, 44, 1, 0, 0.0, R138 R225 R2 R463 R81 R90 R466 R380 R101 R196 R417 R498 R316 R163 R115, , 
H164, 37, 2, 2, 1.0, R11 R269 R216 R49 R229 R414 R160 R459 R165 R159 R185 R93 R469 R23 R480, R229 R414, 4 5
H165, 41, 1, 1, 1.0, R295 R138 R382 R178 R146 R238 R457 R327 R20 R442 R230 R89 R473 R372 R34, R20, 8
H166, 6, 3, 1, 0.33333334, R270 R72 R193 R499 R286 R295 R226 R40 R256 R0 R360 R88 R230 R155 R299, R422, -1
H167, 16, 4, 1, 0.25, R105 R420 R70 R172 R58 R385 R460 R30 R288 R173 R124 R36 R56 R146 R170, R36, 11
H168, 3, 4, 0, 0.0, R150 R56 R446 R137 R207 R487 R116 R468 R76 R400 R211 R180 R167 R370 R44, , 
H169, 21, 2, 0, 0.0, R27 R302 R41 R311 R462 R184 R473 R330 R387 R30 R59 R373 R324 R459 R237, , 
H170, 11, 3, 1, 0.33333334, R198 R149 R396 R362 R490 R181 R289 R475 R188 R446 R321 R385 R238 R243 R205, R385, 11
H171, 11, 1, 0, 0.0, R488 R45 R456 R387 R475 R494 R177 R154 R297 R245 R183 R430 R152 R386 R321, , 
H172, 4, 1, 1, 1.0, R331 R46 R327 R252 R199 R278 R209 R421 R440 R234 R408 R30 R375 R441 R489, R331, 0
H173, 42, 2, 2, 1.0, R379 R349 R399 R169 R487 R374 R55 R188 R98 R57 R277 R451 R122 R393 R44, R379 R188, 0 7
H174, 42, 2, 1, 0.5, R430 R49 R235 R284 R370 R27 R196 R155 R404 R136 R253 R39 R219 R237 R38, R155, 7
H175, 31, 1, 0, 0.0, R292 R12 R185 R232 R47 R402 R398 R448 R119 R16 R475 R75 R307 R37 R345, , 
H176, 33, 5, 0, 0.0, R200 R112 R355 R236 R333 R31 R141 R65 R77 R60 R464 R43 R12 R106 R69, , 
H177, 41, 2, 2, 1.0, R455 R101 R376 R231 R92 R300 R416 R337 R380 R298 R419 R423 R292 R458 R490, R300 R231, 5 3
H178, 10, 4, 3, 0.75, R427 R80 R407 R79 R475 R389 R317 R242 R264 R220 R202 R107 R237 R355 R241, R407 R107 R251, 2 11 -1
H179, 5, 5, 1, 0.2, R34 R392 R92 R55 R343 R458 R242 R113 R115 R312 R486 R42 R408 R82 R439, R430, -1
H180, 33, 3, 3, 1.0, R51 R372 R153 R83 R463 R492 R351 R269 R348 R391 R322 R192 R415 R174 R418, R348 R301 R322, 8 -1 10
H181, 23, 5, 5, 1.0, R353 R18 R116 R487 R115 R275 R321 R190 R49 R61 R286 R409 R473 R419 R44, R214 R55 R304 R18 R421, -1 -1 -1 1 -1
H182, 27, 3, 1, 0.33333334, R189 R358 R487 R413 R109 R439 R290 R9 R381 R25 R474 R191 R334 R352 R319, R352, 13
H183, 22, 3, 0, 0.0, R331 R29 R396 R440 R72 R385 R405 R227 R327 R2 R245 R366 R259 R54 R247, , 
H184, 23, 3, 0, 0.0, R373 R363 R404 R111 R18 R291 R110 R293 R185 R102 R336 R351 R196 R478 R412, , 
H185, 8, 3, 3, 1.0, R9 R215 R57 R492 R50 R46 R159 R320 R380 R377 R11 R170 R222 R268 R39, R29 R166 R339, -1 -1 -1
H186, 24, 4, 2, 0.5, R11 R393 R146 R198 R491 R285 R150 R317 R427 R399 R324 R85 R355 R156 R124, R491 R324, 4 10
H187, 17, 5, 4, 0.8, R260 R114 R137 R370 R14 R167 R453 R489 R457 R36 R265 R468 R396 R135 R437, R80 R457 R260 R342, -1 8 0 -1
H188, 2, 1, 1, 1.0, R2 R495 R484 R386 R212 R11 R458 R489 R327 R85 R451 R379 R133 R394 R372, R386, 3
H189, 10, 3, 3, 1.0, R227 R428 R319 R5 R306 R394 R285 R94 R77 R169 R120 R144 R116 R356 R71, R394 R306 R227, 5 4 0
H190, 47, 5, 2, 0.4, R233 R421 R437 R327 R104 R4 R435 R129 R316 R370 R235 R284 R257 R71 R238, R392 R398, -1 -1
H191, 16, 4, 3, 0.75, R207 R401 R437 R126 R168 R304 R353 R32 R150 R66 R478 R31 R288 R72 R314, R150 R475 R117, 8 -1 -1
