residentId, residentAssignment, partnerId, partnerAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R17, H23, NA, NA, 3, 1, H1 H23 H3 H25 H75 H43 H64 H16 H54 H86 H20 H18 H52 H41 H55, H1 H23 H3 H25 H75 H43 H64 H16 H54 H86 H20 H18 H52 H41 H55, false, NA, NA, NA, NA, NA
R18, NO_MATCH, R191, NO_MATCH, -1, 2147483647, H4 H61 H73 H43 H48 H53 H34 H39 H60 H10 H91 H25 H54 H71 H46, H4 H61 H73 H43 H48 H53 H34 H39 H60 H10 H91 H25 H54 H71 H46, true, false, -1, 2147483647, H53 H73 H22 H48 H74 H28 H43 H17 H19 H4 H61 H46 H34, H53 H73 H22 H48 H74 H28 H43 H17 H19 H4 H61 H46 H34
R19, H67, NA, NA, 9, 5, H70 H49 H15 H92 H79 H67 H9 H26 H44 H87 H81 H93 H72 H98 H69, H70 H49 H15 H92 H79 H67 H9 H26 H44 H87 H81 H93 H72 H98 H69, false, NA, NA, NA, NA, NA
R20, H35, NA, NA, 2, 1, H23 H35 H65 H42 H87 H76 H82 H32 H38 H36 H64 H89 H99 H55 H11, H23 H35 H65 H42 H87 H76 H82 H32 H38 H36 H64 H89 H99 H55 H11, false, NA, NA, NA, NA, NA
R21, H3, R63, H93, 7, 6, H19 H35 H52 H65 H79 H93 H3 H20 H4 H1 H24 H41 H63, H19 H35 H52 H65 H79 H93 H3 H20 H4 H1 H24 H41 H63, true, false, 9, 6, H65 H52 H19 H4 H20 H3 H93 H73 H50 H69 H96 H95 H7 H8 H36, H65 H52 H19 H4 H20 H3 H93 H73 H50 H69 H96 H95 H7 H8 H36
R22, H58, R35, H80, 2, 6, H62 H80 H18 H23 H33 H51 H58 H45 H8 H46 H9 H0 H74 H77 H69, H62 H80 H18 H23 H33 H51 H58 H45 H8 H46 H9 H0 H74 H77 H69, true, false, 5, 6, H62 H59 H5 H92 H97 H51 H80 H23 H18 H58 H75 H94 H33, H62 H59 H5 H92 H97 H51 H80 H23 H18 H58 H75 H94 H33
R23, H97, NA, NA, 2, 0, H97 H14 H80 H41 H36 H1 H37 H61 H55 H83 H75 H26 H7 H21 H74, H97 H14 H80 H41 H36 H1 H37 H61 H55 H83 H75 H26 H7 H21 H74, false, NA, NA, NA, NA, NA
R24, H57, R137, H68, 5, 0, H57 H82 H62 H96 H53 H67 H10 H68 H91 H88 H71 H64 H16 H3, H57 H82 H62 H96 H53 H67 H10 H68 H91 H88 H71 H64 H16 H3, true, false, 5, 0, H68 H10 H64 H3 H82 H91 H62 H80 H89 H60 H54 H94 H15 H86 H90, H68 H10 H64 H3 H82 H91 H62 H80 H89 H60 H54 H94 H15 H86 H90
R25, NO_MATCH, R52, NO_MATCH, -1, 2147483647, H42 H69 H31 H68 H67 H91 H30 H1 H4 H90 H21 H88 H80 H46, H42 H69 H31 H68 H67 H91 H30 H1 H4 H90 H21 H88 H80 H46, true, false, -1, 2147483647, H91 H1 H88 H69 H4 H42 H90 H50 H84 H99 H16 H78 H53 H65 H27, H91 H1 H88 H69 H4 H42 H90 H50 H84 H99 H16 H78 H53 H65 H27
R26, H47, R41, H62, 5, 1, H79 H47 H26 H46 H62 H22 H0 H89 H23 H24 H39 H36 H11 H67, H79 H47 H26 H46 H62 H22 H0 H89 H23 H24 H39 H36 H11 H67, true, false, 5, 1, H24 H62 H79 H26 H67 H23 H89 H96 H3 H29 H34 H59 H61 H98 H78, H24 H62 H79 H26 H67 H23 H89 H96 H3 H29 H34 H59 H61 H98 H78
R27, H28, R176, H39, 4, 0, H28 H39 H17 H57 H75 H33 H13 H71 H51 H61 H20 H76 H25, H28 H39 H17 H57 H75 H33 H13 H71 H51 H61 H20 H76 H25, true, false, 5, 0, H39 H13 H76 H51 H17 H61 H75 H83 H70 H45 H6 H4 H94 H91 H73, H39 H13 H76 H51 H17 H61 H75 H83 H70 H45 H6 H4 H94 H91 H73
R28, H10, NA, NA, 9, 0, H10 H20 H97 H70 H36 H21 H25 H35 H94 H49 H38 H63 H28 H33 H27, H10 H20 H97 H70 H36 H21 H25 H35 H94 H49 H38 H63 H28 H33 H27, false, NA, NA, NA, NA, NA
R29, H14, NA, NA, 2, 0, H14 H39 H28 H74 H25 H98 H88 H68 H95 H33 H43 H65 H59 H15 H89, H14 H39 H28 H74 H25 H98 H88 H68 H95 H33 H43 H65 H59 H15 H89, false, NA, NA, NA, NA, NA
R30, H3, R187, H32, 7, 12, H37 H78 H30 H40 H85 H90 H83 H61 H19 H57 H81 H67 H3 H17 H8, H37 H78 H30 H40 H85 H90 H83 H61 H19 H57 H81 H67 H3 H17 H8, true, false, 0, 12, H52 H30 H90 H40 H85 H67 H83 H23 H78 H38 H7 H37 H32 H6, H52 H30 H90 H40 H85 H67 H83 H23 H78 H38 H7 H37 H32 H6
R31, H68, NA, NA, 5, 1, H15 H68 H46 H5 H2 H26 H56 H75 H17 H11 H51 H19 H95 H63 H65, H15 H68 H46 H5 H2 H26 H56 H75 H17 H11 H51 H19 H95 H63 H65, false, NA, NA, NA, NA, NA
R32, H39, NA, NA, 5, 5, H47 H89 H14 H51 H53 H39 H8 H43 H10 H29 H63 H6 H75 H95 H11, H47 H89 H14 H51 H53 H39 H8 H43 H10 H29 H63 H6 H75 H95 H11, false, NA, NA, NA, NA, NA
R33, H26, R60, H80, 6, 10, H7 H77 H14 H72 H79 H57 H80 H75 H44 H17 H26 H43 H70 H22 H88, H7 H77 H14 H72 H79 H57 H80 H75 H44 H17 H26 H43 H70 H22 H88, true, false, 5, 10, H12 H15 H28 H44 H14 H4 H58 H77 H79 H72 H80 H57 H33 H7, H12 H15 H28 H44 H14 H4 H58 H77 H79 H72 H80 H57 H33 H7
R34, H26, R123, H17, 6, 11, H2 H60 H77 H61 H43 H52 H49 H80 H74 H96 H32 H26 H8, H2 H60 H77 H61 H43 H52 H49 H80 H74 H96 H32 H26 H8, true, false, 1, 11, H43 H61 H60 H32 H77 H80 H49 H28 H22 H8 H47 H17 H46 H10 H73, H43 H61 H60 H32 H77 H80 H49 H28 H22 H8 H47 H17 H46 H10 H73
R35, H80, R22, H58, 5, 6, H62 H59 H5 H92 H97 H51 H80 H23 H18 H58 H75 H94 H33, H62 H59 H5 H92 H97 H51 H80 H23 H18 H58 H75 H94 H33, true, false, 2, 6, H62 H80 H18 H23 H33 H51 H58 H45 H8 H46 H9 H0 H74 H77 H69, H62 H80 H18 H23 H33 H51 H58 H45 H8 H46 H9 H0 H74 H77 H69
R36, H81, NA, NA, 1, 8, H21 H59 H97 H83 H54 H85 H87 H55 H81 H1 H43 H69 H27 H65 H33, H21 H59 H97 H83 H54 H85 H87 H55 H81 H1 H43 H69 H27 H65 H33, false, NA, NA, NA, NA, NA
R37, H5, R53, H48, 1, 2, H48 H92 H5 H45 H69 H47 H65 H71 H15 H39 H57 H36 H43 H63 H96, H48 H92 H5 H45 H69 H47 H65 H71 H15 H39 H57 H36 H43 H63 H96, true, false, 7, 2, H15 H92 H48 H1 H69 H10 H5 H65 H45 H47 H61 H63 H89 H76, H15 H92 H48 H1 H69 H10 H5 H65 H45 H47 H61 H63 H89 H76
R38, H89, NA, NA, 5, 3, H39 H14 H28 H89 H87 H21 H91 H18 H6 H11 H3 H81 H84 H65 H22, H39 H14 H28 H89 H87 H21 H91 H18 H6 H11 H3 H81 H84 H65 H22, false, NA, NA, NA, NA, NA
R39, H4, R171, H72, 8, 10, H17 H70 H57 H98 H47 H2 H39 H87 H77 H63 H4 H45 H71 H25, H17 H70 H57 H98 H47 H2 H39 H87 H77 H63 H4 H45 H71 H25, true, false, 7, 10, H4 H77 H47 H70 H98 H2 H87 H92 H14 H95 H72 H53 H99 H93 H27, H4 H77 H47 H70 H98 H2 H87 H92 H14 H95 H72 H53 H99 H93 H27
R40, H1, R61, H46, 1, 1, H52 H1 H23 H90 H63 H36 H46 H28 H11 H68 H41 H6 H0 H67 H18, H52 H1 H23 H90 H63 H36 H46 H28 H11 H68 H41 H6 H0 H67 H18, true, false, 2, 1, H40 H46 H23 H27 H1 H56 H37 H36 H35 H90 H33 H63 H52, H40 H46 H23 H27 H1 H56 H37 H36 H35 H90 H33 H63 H52
R41, H62, R26, H47, 5, 1, H24 H62 H79 H26 H67 H23 H89 H96 H3 H29 H34 H59 H61 H98 H78, H24 H62 H79 H26 H67 H23 H89 H96 H3 H29 H34 H59 H61 H98 H78, true, false, 5, 1, H79 H47 H26 H46 H62 H22 H0 H89 H23 H24 H39 H36 H11 H67, H79 H47 H26 H46 H62 H22 H0 H89 H23 H24 H39 H36 H11 H67
R42, H92, NA, NA, 5, 1, H65 H92 H30 H29 H9 H93 H39 H10 H74 H27 H94 H56 H35 H55 H64, H65 H92 H30 H29 H9 H93 H39 H10 H74 H27 H94 H56 H35 H55 H64, false, NA, NA, NA, NA, NA
R43, H21, NA, NA, 0, 1, H5 H21 H52 H0 H41 H45 H60 H3 H34 H99 H6 H89 H10 H53 H68, H5 H21 H52 H0 H41 H45 H60 H3 H34 H99 H6 H89 H10 H53 H68, false, NA, NA, NA, NA, NA
R44, H65, R81, H55, 4, 4, H10 H66 H39 H54 H65 H36 H33 H23 H55 H28 H8 H74 H63 H0 H34, H10 H66 H39 H54 H65 H36 H33 H23 H55 H28 H8 H74 H63 H0 H34, true, false, 8, 4, H2 H10 H37 H33 H55 H88 H39 H35 H54 H66 H89 H65 H47 H36, H2 H10 H37 H33 H55 H88 H39 H35 H54 H66 H89 H65 H47 H36
R45, NO_MATCH, R9, NO_MATCH, -1, 2147483647, H72 H48 H18 H25 H5 H4 H49 H43 H51 H17 H14 H37 H94 H9 H33, H72 H48 H18 H25 H5 H4 H49 H43 H51 H17 H14 H37 H94 H9 H33, true, false, -1, 2147483647, H90 H72 H63 H48 H58 H5 H18 H49 H4 H55 H39 H25 H60 H26, H90 H72 H63 H48 H58 H5 H18 H49 H4 H55 H39 H25 H60 H26
R46, H96, R92, H9, 9, 0, H96 H42 H74 H50 H0 H5 H9 H30 H21 H65 H88 H64 H39 H31, H96 H42 H74 H50 H0 H5 H9 H30 H21 H65 H88 H64 H39 H31, true, false, 7, 0, H9 H74 H96 H31 H64 H0 H50 H44 H68 H58 H26 H48 H94 H63 H81, H9 H74 H96 H31 H64 H0 H50 H44 H68 H58 H26 H48 H94 H63 H81
R47, NO_MATCH, R142, NO_MATCH, -1, 2147483647, H62 H42 H5 H61 H47 H25 H75 H88 H60 H41 H19 H68 H52 H39 H59, H62 H42 H5 H61 H47 H25 H75 H88 H60 H41 H19 H68 H52 H39 H59, true, false, -1, 2147483647, H99 H47 H73 H98 H27 H5 H75 H25 H62 H97 H38 H61 H42, H99 H47 H73 H98 H27 H5 H75 H25 H62 H97 H38 H61 H42
R48, H55, R101, H15, 8, 9, H53 H4 H88 H84 H90 H38 H79 H34 H1 H55 H39 H85, H53 H4 H88 H84 H90 H38 H79 H34 H1 H55 H39 H85, true, false, 6, 9, H84 H1 H79 H4 H38 H90 H39 H17 H98 H15 H64 H24 H92 H59 H41, H84 H1 H79 H4 H38 H90 H39 H17 H98 H15 H64 H24 H92 H59 H41
R49, H97, R80, H22, 2, 7, H50 H59 H41 H78 H30 H42 H95 H97 H43 H89 H77 H33 H52, H50 H59 H41 H78 H30 H42 H95 H97 H43 H89 H77 H33 H52, true, false, 7, 7, H50 H52 H41 H42 H95 H30 H89 H22 H1 H91 H66 H29 H14 H43 H70, H50 H52 H41 H42 H95 H30 H89 H22 H1 H91 H66 H29 H14 H43 H70
R50, H21, NA, NA, 0, 1, H9 H21 H85 H30 H56 H25 H53 H79 H37 H60 H43 H5 H70 H20 H90, H9 H21 H85 H30 H56 H25 H53 H79 H37 H60 H43 H5 H70 H20 H90, false, NA, NA, NA, NA, NA
R51, H11, R140, H29, 7, 11, H44 H12 H63 H58 H68 H85 H8 H7 H45 H62 H46 H11 H87 H31, H44 H12 H63 H58 H68 H85 H8 H7 H45 H62 H46 H11 H87 H31, true, false, 8, 11, H58 H46 H31 H8 H87 H62 H63 H34 H22 H84 H14 H29 H3 H93 H79, H58 H46 H31 H8 H87 H62 H63 H34 H22 H84 H14 H29 H3 H93 H79
R52, NO_MATCH, R25, NO_MATCH, -1, 2147483647, H91 H1 H88 H69 H4 H42 H90 H50 H84 H99 H16 H78 H53 H65 H27, H91 H1 H88 H69 H4 H42 H90 H50 H84 H99 H16 H78 H53 H65 H27, true, false, -1, 2147483647, H42 H69 H31 H68 H67 H91 H30 H1 H4 H90 H21 H88 H80 H46, H42 H69 H31 H68 H67 H91 H30 H1 H4 H90 H21 H88 H80 H46
R53, H48, R37, H5, 7, 2, H15 H92 H48 H1 H69 H10 H5 H65 H45 H47 H61 H63 H89 H76, H15 H92 H48 H1 H69 H10 H5 H65 H45 H47 H61 H63 H89 H76, true, false, 1, 2, H48 H92 H5 H45 H69 H47 H65 H71 H15 H39 H57 H36 H43 H63 H96, H48 H92 H5 H45 H69 H47 H65 H71 H15 H39 H57 H36 H43 H63 H96
R54, H15, NA, NA, 6, 0, H15 H42 H90 H96 H88 H27 H60 H84 H9 H53 H58 H92 H87 H7 H32, H15 H42 H90 H96 H88 H27 H60 H84 H9 H53 H58 H92 H87 H7 H32, false, NA, NA, NA, NA, NA
R55, NO_MATCH, R131, NO_MATCH, -1, 2147483647, H50 H9 H61 H83 H37 H41 H21 H60 H5 H16 H79 H55 H66, H50 H9 H61 H83 H37 H41 H21 H60 H5 H16 H79 H55 H66, true, false, -1, 2147483647, H41 H5 H66 H37 H55 H9 H60 H78 H72 H88 H48 H44 H61 H99 H62, H41 H5 H66 H37 H55 H9 H60 H78 H72 H88 H48 H44 H61 H99 H62
R56, H75, R90, H8, 2, 0, H75 H31 H76 H20 H67 H56 H30 H91 H50 H51 H23 H29 H74 H39 H11, H75 H31 H76 H20 H67 H56 H30 H91 H50 H51 H23 H29 H74 H39 H11, true, false, 6, 0, H8 H76 H90 H75 H13 H72 H80 H30 H1 H20 H31 H32 H56 H67, H8 H76 H90 H75 H13 H72 H80 H30 H1 H20 H31 H32 H56 H67
R57, H67, R98, H14, 9, 0, H67 H25 H32 H27 H74 H9 H77 H14 H37 H22 H85 H28 H2 H94, H67 H25 H32 H27 H74 H9 H77 H14 H37 H22 H85 H28 H2 H94, true, false, 2, 0, H14 H32 H67 H2 H22 H28 H25 H5 H43 H35 H20 H84 H64 H86 H36, H14 H32 H67 H2 H22 H28 H25 H5 H43 H35 H20 H84 H64 H86 H36
R58, H99, NA, NA, 1, 0, H99 H49 H38 H77 H17 H63 H5 H76 H26 H90 H55 H85 H45 H98 H73, H99 H49 H38 H77 H17 H63 H5 H76 H26 H90 H55 H85 H45 H98 H73, false, NA, NA, NA, NA, NA
R59, H32, NA, NA, 0, 0, H32 H34 H81 H52 H36 H56 H90 H76 H54 H71 H43 H87 H49 H85 H94, H32 H34 H81 H52 H36 H56 H90 H76 H54 H71 H43 H87 H49 H85 H94, false, NA, NA, NA, NA, NA
R60, H80, R33, H26, 5, 10, H12 H15 H28 H44 H14 H4 H58 H77 H79 H72 H80 H57 H33 H7, H12 H15 H28 H44 H14 H4 H58 H77 H79 H72 H80 H57 H33 H7, true, false, 6, 10, H7 H77 H14 H72 H79 H57 H80 H75 H44 H17 H26 H43 H70 H22 H88, H7 H77 H14 H72 H79 H57 H80 H75 H44 H17 H26 H43 H70 H22 H88
R61, H46, R40, H1, 2, 1, H40 H46 H23 H27 H1 H56 H37 H36 H35 H90 H33 H63 H52, H40 H46 H23 H27 H1 H56 H37 H36 H35 H90 H33 H63 H52, true, false, 1, 1, H52 H1 H23 H90 H63 H36 H46 H28 H11 H68 H41 H6 H0 H67 H18, H52 H1 H23 H90 H63 H36 H46 H28 H11 H68 H41 H6 H0 H67 H18
R62, H52, R69, H94, 9, 3, H71 H81 H74 H52 H40 H57 H94 H3 H64 H43 H11 H88 H83 H62, H71 H81 H74 H52 H40 H57 H94 H3 H64 H43 H11 H88 H83 H62, true, false, 4, 3, H62 H64 H71 H94 H74 H83 H43 H13 H11 H41 H82 H89 H86 H65 H28, H62 H64 H71 H94 H74 H83 H43 H13 H11 H41 H82 H89 H86 H65 H28
R63, H93, R21, H3, 9, 6, H65 H52 H19 H4 H20 H3 H93 H73 H50 H69 H96 H95 H7 H8 H36, H65 H52 H19 H4 H20 H3 H93 H73 H50 H69 H96 H95 H7 H8 H36, true, false, 7, 6, H19 H35 H52 H65 H79 H93 H3 H20 H4 H1 H24 H41 H63, H19 H35 H52 H65 H79 H93 H3 H20 H4 H1 H24 H41 H63
R64, H65, NA, NA, 4, 3, H72 H7 H31 H65 H79 H30 H61 H16 H9 H86 H99 H97 H26 H63 H76, H72 H7 H31 H65 H79 H30 H61 H16 H9 H86 H99 H97 H26 H63 H76, false, NA, NA, NA, NA, NA
R65, NO_MATCH, R125, NO_MATCH, -1, 2147483647, H38 H97 H76 H55 H85 H1 H47 H62 H33 H40 H56 H90 H39 H52, H38 H97 H76 H55 H85 H1 H47 H62 H33 H40 H56 H90 H39 H52, true, false, -1, 2147483647, H62 H56 H38 H97 H90 H1 H85 H18 H75 H13 H86 H77 H84 H2 H52, H62 H56 H38 H97 H90 H1 H85 H18 H75 H13 H86 H77 H84 H2 H52
R66, H78, NA, NA, 2, 0, H78 H61 H46 H2 H32 H15 H81 H89 H79 H17 H43 H93 H56 H33 H23, H78 H61 H46 H2 H32 H15 H81 H89 H79 H17 H43 H93 H56 H33 H23, false, NA, NA, NA, NA, NA
R67, H54, R6, H2, 1, 8, H20 H90 H9 H24 H18 H91 H2 H70 H54 H88 H95 H98 H58 H43 H44, H20 H90 H9 H24 H18 H91 H2 H70 H54 H88 H95 H98 H58 H43 H44, true, false, 7, 8, H32 H47 H90 H96 H58 H88 H78 H24 H2 H9 H92 H91 H18 H20, H32 H47 H90 H96 H58 H88 H78 H24 H2 H9 H92 H91 H18 H20
R68, H91, R11, H5, 5, 3, H5 H73 H40 H91 H45 H18 H79 H42 H37 H95 H65 H55 H64 H0 H19, H5 H73 H40 H91 H45 H18 H79 H42 H37 H95 H65 H55 H64 H0 H19, true, false, 1, 3, H40 H0 H91 H5 H73 H79 H32 H45 H21 H84 H6 H18 H3 H59, H40 H0 H91 H5 H73 H79 H32 H45 H21 H84 H6 H18 H3 H59
R69, H94, R62, H52, 4, 3, H62 H64 H71 H94 H74 H83 H43 H13 H11 H41 H82 H89 H86 H65 H28, H62 H64 H71 H94 H74 H83 H43 H13 H11 H41 H82 H89 H86 H65 H28, true, false, 9, 3, H71 H81 H74 H52 H40 H57 H94 H3 H64 H43 H11 H88 H83 H62, H71 H81 H74 H52 H40 H57 H94 H3 H64 H43 H11 H88 H83 H62
R70, H38, R190, H83, 9, 8, H2 H80 H58 H26 H59 H78 H60 H18 H38 H28 H48 H97 H12 H70, H2 H80 H58 H26 H59 H78 H60 H18 H38 H28 H48 H97 H12 H70, true, false, 2, 8, H12 H18 H80 H38 H78 H70 H58 H73 H83 H62 H17 H43 H2 H19 H82, H12 H18 H80 H38 H78 H70 H58 H73 H83 H62 H17 H43 H2 H19 H82
R71, H17, NA, NA, 1, 1, H71 H17 H3 H20 H87 H19 H72 H83 H67 H38 H85 H61 H44 H33 H91, H71 H17 H3 H20 H87 H19 H72 H83 H67 H38 H85 H61 H44 H33 H91, false, NA, NA, NA, NA, NA
R72, H53, NA, NA, 2, 0, H53 H25 H17 H11 H71 H61 H65 H55 H21 H73 H27 H81 H47 H66 H72, H53 H25 H17 H11 H71 H61 H65 H55 H21 H73 H27 H81 H47 H66 H72, false, NA, NA, NA, NA, NA
R73, H76, NA, NA, 2, 3, H41 H33 H99 H76 H59 H45 H25 H55 H93 H96 H39 H1 H63 H0 H10, H41 H33 H99 H76 H59 H45 H25 H55 H93 H96 H39 H1 H63 H0 H10, false, NA, NA, NA, NA, NA
R74, NO_MATCH, R168, NO_MATCH, -1, 2147483647, H43 H56 H41 H11 H19 H69 H98 H50 H91 H71 H82 H70 H67 H62 H54, H43 H56 H41 H11 H19 H69 H98 H50 H91 H71 H82 H70 H67 H62 H54, true, false, -1, 2147483647, H41 H77 H70 H56 H19 H87 H69 H8 H46 H47 H98 H11 H43, H41 H77 H70 H56 H19 H87 H69 H8 H46 H47 H98 H11 H43
R75, H78, NA, NA, 2, 1, H20 H78 H2 H45 H4 H53 H81 H65 H79 H6 H25 H16 H49 H68 H47, H20 H78 H2 H45 H4 H53 H81 H65 H79 H6 H25 H16 H49 H68 H47, false, NA, NA, NA, NA, NA
R76, H79, R181, H90, 1, 2, H90 H38 H79 H75 H8 H56 H80 H98 H99 H48 H77 H45 H7 H6, H90 H38 H79 H75 H8 H56 H80 H98 H99 H48 H77 H45 H7 H6, true, false, 0, 2, H8 H6 H90 H99 H7 H38 H98 H84 H55 H44 H1 H2 H31 H60 H71, H8 H6 H90 H99 H7 H38 H98 H84 H55 H44 H1 H2 H31 H60 H71
R77, H6, NA, NA, 6, 0, H6 H18 H70 H96 H89 H15 H64 H75 H39 H28 H63 H91 H13 H7 H60, H6 H18 H70 H96 H89 H15 H64 H75 H39 H28 H63 H91 H13 H7 H60, false, NA, NA, NA, NA, NA
R78, H23, R169, H65, 3, 6, H43 H75 H5 H4 H19 H17 H23 H89 H14 H15 H13 H51 H21 H65, H43 H75 H5 H4 H19 H17 H23 H89 H14 H15 H13 H51 H21 H65, true, false, 4, 6, H75 H51 H19 H13 H4 H14 H65 H44 H58 H72 H20 H27 H21 H30 H53, H75 H51 H19 H13 H4 H14 H65 H44 H58 H72 H20 H27 H21 H30 H53
R79, H19, R192, H21, 2, 8, H66 H56 H90 H29 H31 H45 H23 H68 H19 H65 H86 H69 H80 H82, H66 H56 H90 H29 H31 H45 H23 H68 H19 H65 H86 H69 H80 H82, true, false, 0, 8, H68 H19 H23 H45 H29 H80 H65 H50 H21 H27 H6 H36 H73 H12 H30, H68 H19 H23 H45 H29 H80 H65 H50 H21 H27 H6 H36 H73 H12 H30
R80, H22, R49, H97, 7, 7, H50 H52 H41 H42 H95 H30 H89 H22 H1 H91 H66 H29 H14 H43 H70, H50 H52 H41 H42 H95 H30 H89 H22 H1 H91 H66 H29 H14 H43 H70, true, false, 2, 7, H50 H59 H41 H78 H30 H42 H95 H97 H43 H89 H77 H33 H52, H50 H59 H41 H78 H30 H42 H95 H97 H43 H89 H77 H33 H52
