residentId, residentAssignment, partnerId, partnerAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R10, H26, R16, H41, 6, 0, H43 H12 H26 H41 H17 H38 H14 H0 H6 H35 H29 H45, H26 H41, true, false, 6, 0, H29 H17 H35 H14 H0 H41 H6 H27 H46 H43 H48 H19 H39 H34 H18, H41 H27
R11, H10, R30, H39, 9, 0, H48 H46 H8 H25 H10 H21 H1 H43 H40 H5 H39 H34 H44 H12, H10 H39 H12, true, false, 9, 0, H39 H46 H43 H25 H44 H40 H8 H20 H41 H3 H36 H24 H7 H22 H0, H39 H36 H0
R12, H21, R50, H21, 6, 0, H35 H32 H1 H11 H21 H12 H40 H33 H36 H37 H5 H27 H17, H21 H27, true, false, 6, 0, H5 H21 H12 H27 H32 H11 H35 H23 H17 H7 H16 H19 H13 H38 H15, H21 H27 H23
R13, H19, R86, H19, 7, 0, H2 H18 H19 H23 H7 H15 H46 H12 H42 H47 H22 H4 H11 H39 H38, H19, true, false, 7, 0, H7 H22 H10 H46 H31 H44 H23 H24 H18 H15 H19 H2 H36 H26, H19
R14, H44, R42, H26, 6, 1, H26 H38 H29 H6 H49 H47 H37 H11 H9 H27 H8 H44, H27 H44, true, false, 6, 0, H38 H6 H8 H26 H29 H37 H27 H23 H46 H10 H19 H12 H18 H9 H42, H26 H27 H23
R15, H1, R85, H1, 0, 0, H42 H27 H1 H31 H45 H5 H28 H21 H47 H44 H13, H1, true, false, 0, 0, H1 H13 H28 H44 H27 H31 H47 H20 H41 H0 H29 H21 H2 H35 H10, H1
R16, H41, R10, H26, 6, 0, H29 H17 H35 H14 H0 H41 H6 H27 H46 H43 H48 H19 H39 H34 H18, H41 H27, true, false, 6, 0, H43 H12 H26 H41 H17 H38 H14 H0 H6 H35 H29 H45, H26 H41
R17, H37, R75, H49, 3, 0, H11 H47 H9 H48 H39 H27 H16 H2 H10 H37 H30 H33 H24 H44, H37, true, false, 3, 0, H2 H10 H39 H9 H11 H44 H24 H38 H23 H48 H49 H36 H42 H5 H15, H49 H15
R18, H45, R37, H45, 1, 1, H9 H45 H13 H49 H21 H8 H0 H11 H2 H46 H47 H22 H25 H29 H4, H9 H45 H13 H49 H21 H8 H0 H11 H2 H46 H47 H22 H25 H29 H4, true, false, 1, 1, H1 H9 H49 H8 H0 H44 H21 H45 H13 H10 H40 H14 H33, H8 H45
R19, H30, R46, H48, 5, 0, H25 H26 H29 H28 H2 H30 H32 H49 H39 H38 H48 H12 H33, H30 H32 H49 H39 H38 H48 H12 H33, true, false, 5, 0, H39 H2 H48 H32 H28 H26 H25 H18 H4 H33 H7 H19 H36 H31 H43, H48 H25 H7 H43
R20, H6, R3, H6, 7, 0, H23 H4 H12 H9 H8 H25 H27 H31 H42 H10 H0 H6 H48 H34 H24, H6, true, false, 7, 0, H4 H23 H12 H29 H24 H6 H8 H26 H37 H44 H25 H31 H9 H27, H6 H8 H26 H37 H44 H25 H31 H9 H27
R21, H43, R41, H7, 5, 0, H26 H5 H43 H36 H17 H32 H25 H7 H16 H18 H3 H2 H4, H43 H25 H7, true, false, 5, 0, H5 H7 H32 H25 H4 H17 H36 H19 H11 H27 H29 H20 H21 H8 H41, H7 H25
R22, H33, R58, H24, 0, 0, H38 H21 H28 H23 H9 H48 H49 H26 H46 H47 H8 H5 H39 H31 H33, H33, true, false, 0, 0, H21 H38 H28 H23 H8 H20 H49 H34 H48 H9 H24 H25 H15, H24
R23, H35, R80, H46, 3, 0, H26 H17 H35 H3 H10 H23 H40 H48 H49 H34 H29 H22 H25 H16, H35 H49, true, false, 3, 0, H34 H25 H10 H26 H40 H23 H22 H39 H41 H12 H32 H46 H47 H33 H4, H46 H47
R24, H24, R67, H18, 0, 0, H24 H11 H44 H10 H2 H18 H0 H13 H21 H28 H45 H25, H24 H11 H44 H10 H2 H18 H0 H13 H21 H28 H45 H25, true, false, 0, 0, H44 H45 H21 H11 H0 H25 H2 H12 H3 H5 H39 H18 H42 H22 H38, H18
R25, H10, R81, H39, 9, 1, H33 H7 H44 H39 H25 H22 H9 H5 H6 H45 H13 H10 H35 H43 H18, H39 H10, true, false, 9, 0, H40 H15 H26 H39 H7 H33 H46 H29 H42 H22 H9 H25 H44, H39 H42
R26, H30, R77, H43, 5, 0, H30 H46 H0 H8 H35 H12 H39 H2 H1 H5 H6 H3 H18 H37, H30 H46 H0 H8 H35 H12 H39 H2 H1 H5 H6 H3 H18 H37, true, false, 5, 0, H2 H1 H37 H35 H12 H46 H39 H24 H41 H10 H38 H6 H43 H16 H25, H43 H25
R27, H4, R92, H18, 0, 0, H2 H31 H4 H35 H22 H27 H10 H28 H29 H23 H41 H42 H24 H3 H49, H4 H24, true, false, 0, 0, H18 H27 H10 H2 H14 H31 H6 H4 H30 H9 H38 H15 H35 H22, H18 H4
R28, H47, R84, H49, 3, 0, H21 H5 H40 H36 H16 H47 H32 H4 H20 H30 H41 H46 H8 H2 H9, H47 H46, true, false, 3, 0, H49 H5 H16 H46 H11 H32 H36 H29 H4 H21 H9 H47 H40, H49 H46 H47
R29, H44, R33, H44, 6, 0, H24 H44 H13 H37 H41 H28 H6 H19 H47 H33 H40 H32 H4 H20 H3, H44 H41 H3, true, false, 6, 0, H6 H39 H46 H47 H13 H25 H37 H44 H45 H41 H24 H32 H28, H44 H41
R30, H39, R11, H10, 9, 0, H39 H46 H43 H25 H44 H40 H8 H20 H41 H3 H36 H24 H7 H22 H0, H39 H36 H0, true, false, 9, 0, H48 H46 H8 H25 H10 H21 H1 H43 H40 H5 H39 H34 H44 H12, H10 H39 H12
R31, H3, R43, H21, 6, 0, H9 H16 H44 H43 H30 H3 H23 H17 H38 H45 H21 H19 H12 H40, H3 H23 H17 H38 H45 H21 H19 H12 H40, true, true, 6, 3, H30 H16 H3 H19 H23 H44 H17 H7 H4 H8 H21 H33 H13 H15 H6, H3 H23 H44 H21
R32, H29, R56, H13, 8, 2, H13 H8 H48 H19 H36 H18 H17 H9 H23 H29 H32 H28 H27 H2 H43, H13 H9 H29, true, false, 8, 0, H49 H13 H45 H4 H38 H48 H26 H22 H0 H8 H18 H36 H19 H17, H13 H45 H4 H38 H48 H26 H22 H0 H8 H18 H36 H19 H17
R33, H44, R29, H44, 6, 0, H6 H39 H46 H47 H13 H25 H37 H44 H45 H41 H24 H32 H28, H44 H41, true, false, 6, 0, H24 H44 H13 H37 H41 H28 H6 H19 H47 H33 H40 H32 H4 H20 H3, H44 H41 H3
R34, H27, R38, H3, 6, 1, H11 H37 H38 H1 H3 H40 H13 H27 H25 H33 H8 H14 H10 H47 H22, H3 H27, true, false, 6, 0, H13 H3 H40 H1 H19 H5 H29 H37 H11 H26 H8 H38 H2, H3 H40 H1 H19 H5 H29 H37 H11 H26 H8 H38 H2
R35, H42, R74, H0, 9, 0, H0 H30 H42 H27 H44 H1 H36 H2 H9 H12 H43 H32 H20, H42 H27 H44 H1 H36 H2 H9 H12 H43 H32 H20, true, false, 9, 0, H9 H44 H27 H0 H30 H1 H12 H49 H39 H7 H37 H3 H34 H11 H4, H0 H12 H39
R36, H27, R53, H23, 6, 0, H40 H22 H32 H20 H27 H46 H37 H38 H14 H34 H8 H6 H28 H12 H1, H27, true, false, 6, 0, H20 H23 H25 H32 H1 H27 H46 H41 H37 H40 H22 H2, H23 H27 H41
R37, H45, R18, H45, 1, 1, H1 H9 H49 H8 H0 H44 H21 H45 H13 H10 H40 H14 H33, H8 H45, true, false, 1, 1, H9 H45 H13 H49 H21 H8 H0 H11 H2 H46 H47 H22 H25 H29 H4, H9 H45 H13 H49 H21 H8 H0 H11 H2 H46 H47 H22 H25 H29 H4
R38, H3, R34, H27, 6, 0, H13 H3 H40 H1 H19 H5 H29 H37 H11 H26 H8 H38 H2, H3 H40 H1 H19 H5 H29 H37 H11 H26 H8 H38 H2, true, true, 6, 1, H11 H37 H38 H1 H3 H40 H13 H27 H25 H33 H8 H14 H10 H47 H22, H3 H27
R39, H24, R49, H24, 0, 0, H24 H29 H40 H13 H39 H3 H14 H34 H25 H46 H43, H24 H29 H40 H13 H39 H3 H14 H34 H25 H46 H43, true, false, 0, 0, H14 H46 H34 H3 H13 H40 H24 H45 H48 H19 H10 H5 H29 H25 H16, H24
R40, H46, R94, H15, 3, 0, H46 H4 H22 H31 H37 H33 H9 H7 H19 H47 H8 H15 H43 H11, H46 H4 H22 H31 H37 H33 H9 H7 H19 H47 H8 H15 H43 H11, true, false, 3, 0, H8 H15 H46 H22 H9 H47 H33 H23 H40 H20 H25 H11 H19 H42 H16, H15 H46 H47
R41, H7, R21, H43, 5, 0, H5 H7 H32 H25 H4 H17 H36 H19 H11 H27 H29 H20 H21 H8 H41, H7 H25, true, false, 5, 0, H26 H5 H43 H36 H17 H32 H25 H7 H16 H18 H3 H2 H4, H43 H25 H7
R42, H26, R14, H44, 6, 0, H38 H6 H8 H26 H29 H37 H27 H23 H46 H10 H19 H12 H18 H9 H42, H26 H27 H23, true, true, 6, 1, H26 H38 H29 H6 H49 H47 H37 H11 H9 H27 H8 H44, H27 H44
R43, H21, R31, H3, 6, 3, H30 H16 H3 H19 H23 H44 H17 H7 H4 H8 H21 H33 H13 H15 H6, H3 H23 H44 H21, true, false, 6, 0, H9 H16 H44 H43 H30 H3 H23 H17 H38 H45 H21 H19 H12 H40, H3 H23 H17 H38 H45 H21 H19 H12 H40
R44, H7, R65, H48, 5, 1, H1 H25 H2 H42 H7 H38 H19 H24 H6 H18 H27 H8 H22 H46 H21, H25 H7, true, false, 5, 1, H38 H7 H48 H9 H19 H17 H25 H2 H42 H1 H11 H37 H32, H7 H48 H25
R45, H0, R55, H10, 9, 0, H6 H0 H44 H20 H23 H40 H28 H22 H10 H43 H18 H14 H4, H0 H10, true, false, 9, 0, H10 H18 H6 H43 H23 H0 H22 H8 H31 H17 H38 H39 H28 H34 H2, H10 H0 H39
R46, H48, R19, H30, 5, 0, H39 H2 H48 H32 H28 H26 H25 H18 H4 H33 H7 H19 H36 H31 H43, H48 H25 H7 H43, true, false, 5, 0, H25 H26 H29 H28 H2 H30 H32 H49 H39 H38 H48 H12 H33, H30 H32 H49 H39 H38 H48 H12 H33
R47, H8, R83, H8, 1, 0, H42 H8 H41 H21 H24 H43 H26 H7 H32 H29 H15 H40 H25, H8 H41 H21 H24 H43 H26 H7 H32 H29 H15 H40 H25, true, false, 1, 0, H24 H40 H32 H29 H25 H15 H43 H49 H22 H9 H4 H8 H48 H47 H37, H8
R48, H20, R64, H22, 2, 0, H47 H49 H22 H17 H8 H10 H15 H26 H41 H31 H43 H20, H20, true, false, 2, 0, H8 H49 H41 H43 H22 H20 H31 H48 H7 H2 H30 H5 H21 H6 H16, H22 H20
R49, H24, R39, H24, 0, 0, H14 H46 H34 H3 H13 H40 H24 H45 H48 H19 H10 H5 H29 H25 H16, H24, true, false, 0, 0, H24 H29 H40 H13 H39 H3 H14 H34 H25 H46 H43, H24 H29 H40 H13 H39 H3 H14 H34 H25 H46 H43
R50, H21, R12, H21, 6, 0, H5 H21 H12 H27 H32 H11 H35 H23 H17 H7 H16 H19 H13 H38 H15, H21 H27 H23, true, false, 6, 0, H35 H32 H1 H11 H21 H12 H40 H33 H36 H37 H5 H27 H17, H21 H27
R51, H49, R89, H35, 3, 0, H37 H16 H49 H5 H39 H29 H1 H6 H12 H9 H20 H40 H14, H49 H5 H39 H29 H1 H6 H12 H9 H20 H40 H14, true, true, 3, 1, H16 H40 H5 H6 H49 H1 H39 H38 H8 H26 H34 H41 H14 H29 H35, H49 H35
R52, H33, R98, H33, 0, 0, H44 H33 H20 H46 H4 H18 H23 H17 H11 H38 H29 H21, H33 H4 H18, true, false, 0, 0, H33 H21 H46 H17 H20 H23 H44 H9 H19 H16 H27 H0 H7 H48 H2, H33
R53, H23, R36, H27, 6, 0, H20 H23 H25 H32 H1 H27 H46 H41 H37 H40 H22 H2, H23 H27 H41, true, false, 6, 0, H40 H22 H32 H20 H27 H46 H37 H38 H14 H34 H8 H6 H28 H12 H1, H27
R54, H5, R69, H8, 1, 1, H46 H7 H5 H24 H34 H39 H3 H22 H48 H25 H45 H0 H42 H16 H37, H7 H5 H24 H34 H39 H3 H22 H48 H25 H45 H0 H42 H16 H37, true, false, 1, 1, H20 H5 H7 H3 H40 H21 H46 H8 H13 H24 H34 H39, H5 H8 H34
R55, H10, R45, H0, 9, 0, H10 H18 H6 H43 H23 H0 H22 H8 H31 H17 H38 H39 H28 H34 H2, H10 H0 H39, true, false, 9, 0, H6 H0 H44 H20 H23 H40 H28 H22 H10 H43 H18 H14 H4, H0 H10
R56, H13, R32, H29, 8, 0, H49 H13 H45 H4 H38 H48 H26 H22 H0 H8 H18 H36 H19 H17, H13 H45 H4 H38 H48 H26 H22 H0 H8 H18 H36 H19 H17, true, true, 8, 2, H13 H8 H48 H19 H36 H18 H17 H9 H23 H29 H32 H28 H27 H2 H43, H13 H9 H29
R57, H0, R88, H42, 9, 2, H42 H28 H29 H12 H38 H45 H15 H27 H0 H10 H22 H13 H34 H41 H5, H42 H12 H0 H10, true, false, 9, 0, H42 H25 H28 H15 H9 H29 H21 H12 H45 H2 H20 H18 H38, H42 H25 H28 H15 H9 H29 H21 H12 H45 H2 H20 H18 H38
R58, H24, R22, H33, 0, 0, H21 H38 H28 H23 H8 H20 H49 H34 H48 H9 H24 H25 H15, H24, true, false, 0, 0, H38 H21 H28 H23 H9 H48 H49 H26 H46 H47 H8 H5 H39 H31 H33, H33
R59, H46, R70, H49, 3, 1, H33 H26 H11 H15 H12 H46 H2 H41 H25 H7 H16 H27 H1 H17 H36, H15 H46, true, false, 3, 0, H11 H16 H49 H25 H12 H29 H46 H33 H1 H41 H2 H15 H26 H22, H49 H46 H15
R60, H4, R66, H4, 0, 0, H4 H3 H12 H13 H23 H5 H10 H37 H6 H15 H18 H35 H40 H48, H4 H3 H12 H13 H23 H5 H10 H37 H6 H15 H18 H35 H40 H48, true, false, 0, 0, H6 H4 H18 H12 H15 H35 H10 H21 H20 H27 H37 H48 H41 H26 H2, H4 H18
R61, H16, R4, H9, 8, 0, H16 H36 H3 H12 H7 H33 H47 H40 H2 H1 H39 H21, H16 H36 H3 H12 H7 H33 H47 H40 H2 H1 H39 H21, true, true, 8, 1, H33 H40 H2 H3 H16 H1 H36 H11 H6 H12 H5 H9 H25 H32 H22, H16 H9
R62, H15, R76, H46, 3, 1, H46 H27 H34 H25 H41 H17 H43 H33 H1 H49 H3 H13 H15 H40 H12, H49 H15, true, false, 3, 0, H34 H43 H46 H26 H25 H27 H18 H17 H33 H41 H42 H24, H46
R63, H21, R0, H23, 6, 1, H48 H19 H44 H28 H47 H21 H38 H29 H32 H36 H6 H40 H11 H25 H14, H44 H21, true, false, 6, 1, H47 H30 H28 H44 H34 H48 H23 H12 H19 H38 H29 H21 H35, H44 H23 H21
R64, H22, R48, H20, 2, 0, H8 H49 H41 H43 H22 H20 H31 H48 H7 H2 H30 H5 H21 H6 H16, H22 H20, true, false, 2, 0, H47 H49 H22 H17 H8 H10 H15 H26 H41 H31 H43 H20, H20
R65, H48, R44, H7, 5, 1, H38 H7 H48 H9 H19 H17 H25 H2 H42 H1 H11 H37 H32, H7 H48 H25, true, false, 5, 1, H1 H25 H2 H42 H7 H38 H19 H24 H6 H18 H27 H8 H22 H46 H21, H25 H7
R66, H4, R60, H4, 0, 0, H6 H4 H18 H12 H15 H35 H10 H21 H20 H27 H37 H48 H41 H26 H2, H4 H18, true, false, 0, 0, H4 H3 H12 H13 H23 H5 H10 H37 H6 H15 H18 H35 H40 H48, H4 H3 H12 H13 H23 H5 H10 H37 H6 H15 H18 H35 H40 H48
R67, H18, R24, H24, 0, 0, H44 H45 H21 H11 H0 H25 H2 H12 H3 H5 H39 H18 H42 H22 H38, H18, true, false, 0, 0, H24 H11 H44 H10 H2 H18 H0 H13 H21 H28 H45 H25, H24 H11 H44 H10 H2 H18 H0 H13 H21 H28 H45 H25
R68, H41, R97, H41, 6, 0, H40 H38 H41 H21 H0 H35 H34 H43 H24 H13 H19 H8 H12 H30, H41 H21 H0 H35 H34 H43 H24 H13 H19 H8 H12 H30, true, false, 6, 0, H34 H0 H41 H40 H12 H43 H30 H28 H15 H8 H24 H18 H35 H9 H47, H41
R69, H8, R54, H5, 1, 1, H20 H5 H7 H3 H40 H21 H46 H8 H13 H24 H34 H39, H5 H8 H34, true, false, 1, 1, H46 H7 H5 H24 H34 H39 H3 H22 H48 H25 H45 H0 H42 H16 H37, H7 H5 H24 H34 H39 H3 H22 H48 H25 H45 H0 H42 H16 H37
R70, H49, R59, H46, 3, 0, H11 H16 H49 H25 H12 H29 H46 H33 H1 H41 H2 H15 H26 H22, H49 H46 H15, true, true, 3, 1, H33 H26 H11 H15 H12 H46 H2 H41 H25 H7 H16 H27 H1 H17 H36, H15 H46
R71, H9, R8, H31, 8, 0, H33 H5 H3 H39 H41 H9 H13 H1 H49 H36 H31 H22, H9 H13 H31, true, false, 8, 0, H31 H22 H9 H49 H36 H33 H13 H40 H21 H12 H1 H17 H10 H32 H43, H31 H22 H9 H49 H36 H33 H13 H40 H21 H12 H1 H17 H10 H32 H43
R72, H11, R93, H11, 1, 0, H3 H12 H21 H49 H10 H14 H11 H40 H24 H32 H28 H48 H34 H9 H8, H11 H40 H24 H32 H28 H48 H34 H9 H8, true, true, 1, 1, H10 H24 H34 H14 H21 H3 H19 H47 H49 H28 H11 H12, H34 H11
R73, H34, R82, H5, 1, 1, H48 H19 H1 H0 H17 H5 H34 H8 H23 H3 H20 H39 H16 H14, H5 H34 H8, true, false, 1, 0, H17 H0 H48 H20 H14 H5 H8 H7 H19 H12 H38 H45 H44 H15 H47, H5 H8 H38 H45
R74, H0, R35, H42, 9, 0, H9 H44 H27 H0 H30 H1 H12 H49 H39 H7 H37 H3 H34 H11 H4, H0 H12 H39, true, false, 9, 0, H0 H30 H42 H27 H44 H1 H36 H2 H9 H12 H43 H32 H20, H42 H27 H44 H1 H36 H2 H9 H12 H43 H32 H20
R75, H49, R17, H37, 3, 0, H2 H10 H39 H9 H11 H44 H24 H38 H23 H48 H49 H36 H42 H5 H15, H49 H15, true, false, 3, 0, H11 H47 H9 H48 H39 H27 H16 H2 H10 H37 H30 H33 H24 H44, H37
R76, H46, R62, H15, 3, 0, H34 H43 H46 H26 H25 H27 H18 H17 H33 H41 H42 H24, H46, true, true, 3, 1, H46 H27 H34 H25 H41 H17 H43 H33 H1 H49 H3 H13 H15 H40 H12, H49 H15
R77, H43, R26, H30, 5, 0, H2 H1 H37 H35 H12 H46 H39 H24 H41 H10 H38 H6 H43 H16 H25, H43 H25, true, false, 5, 0, H30 H46 H0 H8 H35 H12 H39 H2 H1 H5 H6 H3 H18 H37, H30 H46 H0 H8 H35 H12 H39 H2 H1 H5 H6 H3 H18 H37
R78, H42, R7, H39, 9, 0, H22 H42 H0 H6 H16 H47 H19 H20 H5 H37 H38 H10, H42 H0 H6 H16 H47 H19 H20 H5 H37 H38 H10, true, true, 9, 3, H6 H38 H10 H47 H19 H0 H16 H29 H12 H39 H13 H20 H32 H15 H40, H10 H0 H12 H39
R79, H34, R95, H34, 1, 0, H24 H42 H43 H2 H29 H15 H34 H21 H49 H10 H3 H23 H18, H34, true, false, 1, 0, H18 H29 H23 H10 H34 H3 H24 H19 H32 H9 H15 H33 H49 H42 H48, H34
R80, H46, R23, H35, 3, 0, H34 H25 H10 H26 H40 H23 H22 H39 H41 H12 H32 H46 H47 H33 H4, H46 H47, true, false, 3, 0, H26 H17 H35 H3 H10 H23 H40 H48 H49 H34 H29 H22 H25 H16, H35 H49
R81, H39, R25, H10, 9, 0, H40 H15 H26 H39 H7 H33 H46 H29 H42 H22 H9 H25 H44, H39 H42, true, true, 9, 1, H33 H7 H44 H39 H25 H22 H9 H5 H6 H45 H13 H10 H35 H43 H18, H39 H10
R82, H5, R73, H34, 1, 0, H17 H0 H48 H20 H14 H5 H8 H7 H19 H12 H38 H45 H44 H15 H47, H5 H8 H38 H45, true, true, 1, 1, H48 H19 H1 H0 H17 H5 H34 H8 H23 H3 H20 H39 H16 H14, H5 H34 H8
R83, H8, R47, H8, 1, 0, H24 H40 H32 H29 H25 H15 H43 H49 H22 H9 H4 H8 H48 H47 H37, H8, true, false, 1, 0, H42 H8 H41 H21 H24 H43 H26 H7 H32 H29 H15 H40 H25, H8 H41 H21 H24 H43 H26 H7 H32 H29 H15 H40 H25
R84, H49, R28, H47, 3, 0, H49 H5 H16 H46 H11 H32 H36 H29 H4 H21 H9 H47 H40, H49 H46 H47, true, false, 3, 0, H21 H5 H40 H36 H16 H47 H32 H4 H20 H30 H41 H46 H8 H2 H9, H47 H46
R85, H1, R15, H1, 0, 0, H1 H13 H28 H44 H27 H31 H47 H20 H41 H0 H29 H21 H2 H35 H10, H1, true, false, 0, 0, H42 H27 H1 H31 H45 H5 H28 H21 H47 H44 H13, H1
R86, H19, R13, H19, 7, 0, H7 H22 H10 H46 H31 H44 H23 H24 H18 H15 H19 H2 H36 H26, H19, true, false, 7, 0, H2 H18 H19 H23 H7 H15 H46 H12 H42 H47 H22 H4 H11 H39 H38, H19
R87, H17, R96, H17, 4, 0, H5 H23 H47 H46 H19 H7 H43 H17 H12 H24 H15 H36 H32 H26, H17, true, false, 4, 0, H5 H17 H43 H15 H26 H19 H32 H20 H8 H12 H34 H25 H21 H16 H0, H17
R88, H42, R57, H0, 9, 0, H42 H25 H28 H15 H9 H29 H21 H12 H45 H2 H20 H18 H38, H42 H25 H28 H15 H9 H29 H21 H12 H45 H2 H20 H18 H38, true, true, 9, 2, H42 H28 H29 H12 H38 H45 H15 H27 H0 H10 H22 H13 H34 H41 H5, H42 H12 H0 H10
R89, H35, R51, H49, 3, 1, H16 H40 H5 H6 H49 H1 H39 H38 H8 H26 H34 H41 H14 H29 H35, H49 H35, true, false, 3, 0, H37 H16 H49 H5 H39 H29 H1 H6 H12 H9 H20 H40 H14, H49 H5 H39 H29 H1 H6 H12 H9 H20 H40 H14
R90, H5, R5, H38, 1, 0, H15 H7 H5 H38 H39 H22 H13 H0 H20 H30 H45 H27 H26 H16 H17, H5 H38 H39 H22 H13 H0 H20 H30 H45 H27 H26 H16 H17, true, true, 1, 1, H22 H15 H2 H13 H32 H17 H18 H43 H5 H39 H10 H38 H12 H7, H5 H38
R91, H42, R99, H12, 9, 1, H32 H29 H12 H46 H42 H43 H17 H49 H41 H19 H10 H38 H9 H39 H28, H12 H42 H10 H39, true, false, 9, 0, H17 H12 H42 H33 H43 H30 H29 H46 H21 H32 H36 H27, H12 H42 H36
R92, H18, R27, H4, 0, 0, H18 H27 H10 H2 H14 H31 H6 H4 H30 H9 H38 H15 H35 H22, H18 H4, true, false, 0, 0, H2 H31 H4 H35 H22 H27 H10 H28 H29 H23 H41 H42 H24 H3 H49, H4 H24
R93, H11, R72, H11, 1, 1, H10 H24 H34 H14 H21 H3 H19 H47 H49 H28 H11 H12, H34 H11, true, false, 1, 0, H3 H12 H21 H49 H10 H14 H11 H40 H24 H32 H28 H48 H34 H9 H8, H11 H40 H24 H32 H28 H48 H34 H9 H8
R94, H15, R40, H46, 3, 0, H8 H15 H46 H22 H9 H47 H33 H23 H40 H20 H25 H11 H19 H42 H16, H15 H46 H47, true, false, 3, 0, H46 H4 H22 H31 H37 H33 H9 H7 H19 H47 H8 H15 H43 H11, H46 H4 H22 H31 H37 H33 H9 H7 H19 H47 H8 H15 H43 H11
R95, H34, R79, H34, 1, 0, H18 H29 H23 H10 H34 H3 H24 H19 H32 H9 H15 H33 H49 H42 H48, H34, true, false, 1, 0, H24 H42 H43 H2 H29 H15 H34 H21 H49 H10 H3 H23 H18, H34
R96, H17, R87, H17, 4, 0, H5 H17 H43 H15 H26 H19 H32 H20 H8 H12 H34 H25 H21 H16 H0, H17, true, false, 4, 0, H5 H23 H47 H46 H19 H7 H43 H17 H12 H24 H15 H36 H32 H26, H17
R97, H41, R68, H41, 6, 0, H34 H0 H41 H40 H12 H43 H30 H28 H15 H8 H24 H18 H35 H9 H47, H41, true, false, 6, 0, H40 H38 H41 H21 H0 H35 H34 H43 H24 H13 H19 H8 H12 H30, H41 H21 H0 H35 H34 H43 H24 H13 H19 H8 H12 H30
R98, H33, R52, H33, 0, 0, H33 H21 H46 H17 H20 H23 H44 H9 H19 H16 H27 H0 H7 H48 H2, H33, true, false, 0, 0, H44 H33 H20 H46 H4 H18 H23 H17 H11 H38 H29 H21, H33 H4 H18
