hospitalId, hospitalLocation, capacity, assignmentCount, filledPercentage, preferences, assignments, assignmentRanks
H38, 1, 3, 1, 0.33333334, R36 R68 R34 R14 R10 R77 R5 R55 R2 R65 R52 R7 R22 R67 R78, R14, 3
H39, 9, 5, 3, 0.6, R61 R89 R19 R13 R30 R2 R81 R54 R80 R51 R77 R7 R26 R22 R91, R61 R30 R89, 0 4 1
H40, 7, 1, 1, 1.0, R38 R72 R39 R69 R23 R12 R49 R97 R61 R80 R68 R53 R30 R81 R62, R80, 9
H41, 6, 5, 1, 0.2, R66 R68 R57 R47 R59 R62 R29 R10 R27 R28 R80 R53 R16 R48 R97, R47, 3
H42, 9, 5, 1, 0.2, R88 R35 R76 R15 R47 R95 R75 R78 R54 R94 R99 R91 R57 R81 R65, R15, 3
H43, 5, 5, 3, 0.6, R47 R55 R40 R68 R25 R21 R35 R77 R16 R91 R96 R64 R83 R87 R97, R97 R91 R35, 14 9 6
H44, 6, 5, 1, 0.2, R6 R52 R33 R24 R29 R15 R45 R85 R14 R2 R37 R63 R75 R43 R11, R52, 1
H45, 1, 4, 1, 0.25, R56 R82 R90 R18 R1 R15 R31 R57 R9 R37 R54 R49 R24 R67 R88, R88, 14
H46, 3, 5, 2, 0.4, R30 R81 R54 R86 R2 R62 R80 R40 R22 R59 R36 R13 R53 R76 R94, R62 R81, 5 1
H47, 3, 2, 1, 0.5, R15 R48 R18 R40 R29 R94 R13 R83 R33 R84 R28 R78 R34 R80 R14, R48, 1
H48, 5, 3, 1, 0.33333334, R19 R11 R46 R56 R49 R32 R72 R66 R83 R16 R95 R65 R22 R20 R73, R11, 1
H49, 3, 4, 3, 0.75, R27 R75 R56 R22 R23 R18 R70 R48 R51 R72 R84 R64 R79 R19 R83, R75 R84 R70, 1 10 6
