residentId, residentAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerId, partnerAssignment, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R12, NO_MATCH, -1, 2147483647, H24 H11 H47 H5 H27 H49 H31 H7 H26 H37 H6 H13 H48 H36 H35, H35, true, false, R44, NO_MATCH, -1, 2147483647, H5 H37 H38 H47 H10 H24 H17 H27 H11 H31 H49 H25 H46, 
R13, H20, 42, 0, H43 H0 H46 H5 H19 H40 H45 H44 H33 H22 H4 H39 H25 H20, H20, true, false, R69, H20, 42, 10, H44 H0 H25 H46 H39 H5 H19 H10 H13 H8 H4 H20 H27 H48 H41, H0 H25 H46 H39 H5 H19 H10 H13 H8 H4 H20 H27 H48 H41
R14, H43, 23, 4, H12 H46 H32 H38 H43 H23 H6 H13 H29 H20 H8 H31 H11 H24 H18, H12 H46 H32 H38 H43 H23 H6 H13 H29 H20 H8 H31 H11 H24 H18, false, NA, NA, NA, NA, NA, NA, NA
R15, H40, 48, 4, H43 H39 H30 H35 H40 H22 H38 H11 H12 H47 H31 H42 H25 H14 H13, H43 H39 H30 H35 H40 H22 H38 H11 H12 H47 H31 H42 H25 H14 H13, false, NA, NA, NA, NA, NA, NA, NA
R16, H12, 2, 6, H34 H5 H35 H36 H22 H0 H12 H29 H47 H37 H18 H6 H14 H13 H39, H34 H5 H35 H36 H22 H0 H12 H29 H47 H37 H18 H6 H14 H13 H39, false, NA, NA, NA, NA, NA, NA, NA
R17, H39, 22, 2, H3 H32 H39 H36 H25 H48 H13 H31 H22 H10 H9 H16 H4 H33 H23, H3 H32 H39 H36 H25 H48 H13 H31 H22 H10 H9 H16 H4 H33 H23, false, NA, NA, NA, NA, NA, NA, NA
R18, H5, 19, 2, H41 H37 H5 H31 H25 H19 H38 H7 H3 H43 H23 H32 H17 H18 H30, H41 H37 H5 H31 H25 H19 H38 H7 H3 H43 H23 H32 H17 H18 H30, false, NA, NA, NA, NA, NA, NA, NA
R19, NO_MATCH, -1, 2147483647, H49 H1 H44 H32 H10 H11 H12 H7 H34 H16 H23 H4 H3 H42 H37, , true, false, R24, NO_MATCH, -1, 2147483647, H39 H49 H35 H12 H24 H20 H11 H46 H3 H10 H32 H1 H44, H44
R20, NO_MATCH, -1, 2147483647, H10 H21 H4 H12 H6 H40 H20 H29 H39 H22 H47 H7 H27 H45 H1, , true, false, R142, NO_MATCH, -1, 2147483647, H42 H44 H40 H6 H12 H10 H45 H4 H13 H2 H8 H21 H20, 
R21, H37, 45, 0, H37 H18 H40 H7 H3 H2 H48 H24 H43 H41 H39 H19 H10 H8 H14, H37 H18 H40 H7 H3 H2 H48 H24 H43 H41 H39 H19 H10 H8 H14, false, NA, NA, NA, NA, NA, NA, NA
R22, H5, 19, 0, H5 H35 H22 H21 H32 H48 H0 H46 H33 H2 H44 H15 H40 H42 H24, H5 H35 H22 H21 H32 H48 H0 H46 H33 H2 H44 H15 H40 H42 H24, false, NA, NA, NA, NA, NA, NA, NA
R23, H3, 3, 14, H29 H44 H45 H25 H9 H49 H26 H24 H13 H34 H11 H18 H17 H7 H3, H29 H44 H45 H25 H9 H49 H26 H24 H13 H34 H11 H18 H17 H7 H3, false, NA, NA, NA, NA, NA, NA, NA
R24, NO_MATCH, -1, 2147483647, H39 H49 H35 H12 H24 H20 H11 H46 H3 H10 H32 H1 H44, H44, true, false, R19, NO_MATCH, -1, 2147483647, H49 H1 H44 H32 H10 H11 H12 H7 H34 H16 H23 H4 H3 H42 H37, 
R25, H25, 9, 2, H35 H39 H25 H28 H31 H1 H41 H7 H4 H0 H36 H33 H26 H19 H34, H35 H39 H25 H28 H31 H1 H41 H7 H4 H0 H36 H33 H26 H19 H34, false, NA, NA, NA, NA, NA, NA, NA
R26, H12, 2, 9, H11 H4 H35 H41 H43 H26 H14 H37 H45 H12 H25 H20 H44 H46 H5, H11 H4 H35 H41 H43 H26 H14 H37 H45 H12 H25 H20 H44 H46 H5, false, NA, NA, NA, NA, NA, NA, NA
R27, H35, 3, 1, H3 H35 H25 H0 H5 H48 H44 H8 H47 H1 H31 H19 H6 H2, H3 H35 H25 H0 H5 H48 H44 H8 H47 H1 H31 H19 H6 H2, true, true, R114, H3, 3, 0, H3 H5 H6 H1 H8 H0 H35 H22 H15 H24 H39 H26 H29 H14 H32, H3 H5 H6 H1 H8 H0 H35 H22 H15 H24 H39 H26 H29 H14 H32
R28, H32, 7, 1, H7 H32 H44 H0 H12 H27 H1 H13 H31 H16 H35 H4 H41 H20 H46, H7 H32 H44 H0 H12 H27 H1 H13 H31 H16 H35 H4 H41 H20 H46, false, NA, NA, NA, NA, NA, NA, NA
R29, H37, 45, 0, H37 H38 H32 H22 H31 H45 H21 H43 H28 H3 H30 H40 H4 H14 H33, H37 H38 H32 H22 H31 H45 H21 H43 H28 H3 H30 H40 H4 H14 H33, false, NA, NA, NA, NA, NA, NA, NA
R30, H22, 3, 6, H36 H2 H29 H39 H5 H25 H22 H17 H28 H30 H9 H27 H45 H48 H37, H36 H2 H29 H39 H5 H25 H22 H17 H28 H30 H9 H27 H45 H48 H37, false, NA, NA, NA, NA, NA, NA, NA
R31, H11, 5, 9, H49 H16 H21 H22 H13 H10 H44 H29 H19 H11 H46 H25 H27 H2 H28, H49 H16 H21 H22 H13 H10 H44 H29 H19 H11 H46 H25 H27 H2 H28, false, NA, NA, NA, NA, NA, NA, NA
R32, H44, 19, 0, H44 H26 H23 H6 H14 H13 H25 H40 H0 H24 H5 H11 H30 H34 H45, H44 H26 H23 H6 H14 H13 H25 H40 H0 H24 H5 H11 H30 H34 H45, false, NA, NA, NA, NA, NA, NA, NA
R33, NO_MATCH, -1, 2147483647, H36 H27 H41 H25 H20 H49 H34 H40 H1 H8 H35 H18 H32 H5, H32 H5, true, false, R111, NO_MATCH, -1, 2147483647, H34 H32 H40 H5 H36 H49 H20 H27 H29 H3 H23 H48 H1 H22 H14, H14
R34, NO_MATCH, -1, 2147483647, H27 H39 H41 H28 H21 H47 H48 H15 H4 H22 H43 H16, H16, true, false, R48, NO_MATCH, -1, 2147483647, H16 H22 H47 H28 H43 H48 H15 H0 H2 H49 H20 H19 H12 H3 H35, H3 H35
R35, NO_MATCH, -1, 2147483647, H13 H25 H26 H29 H18 H14 H39 H30 H27 H16 H2 H47 H43 H49, , true, false, R56, NO_MATCH, -1, 2147483647, H29 H25 H30 H47 H43 H49 H13 H8 H28 H36 H10 H18 H45 H27 H12, H12
R36, H40, 48, 1, H46 H40 H4 H14 H11 H15 H41 H29 H21 H27 H42 H24 H32 H47 H35, H46 H40 H4 H14 H11 H15 H41 H29 H21 H27 H42 H24 H32 H47 H35, false, NA, NA, NA, NA, NA, NA, NA
R37, H31, 16, 0, H31 H42 H11 H17 H40 H15 H25 H10 H22 H30 H36 H6 H34 H23 H32, H31 H42 H11 H17 H40 H15 H25 H10 H22 H30 H36 H6 H34 H23 H32, false, NA, NA, NA, NA, NA, NA, NA
R38, NO_MATCH, -1, 2147483647, H12 H11 H16 H4 H18 H35 H49 H1 H19 H44 H36 H34 H7, H34 H7, true, false, R47, NO_MATCH, -1, 2147483647, H12 H35 H34 H18 H44 H11 H19 H24 H20 H14 H48 H21 H30 H8 H10, 
R39, H18, 29, 13, H4 H42 H25 H3 H24 H36 H47 H49 H48 H27 H5 H9 H46 H18 H22, H4 H42 H25 H3 H24 H36 H47 H49 H48 H27 H5 H9 H46 H18 H22, false, NA, NA, NA, NA, NA, NA, NA
R40, H36, 9, 0, H36 H2 H47 H17 H27 H6 H28 H3 H8 H35 H9 H26 H0 H46 H33, H36 H2 H47 H17 H27 H6 H28 H3 H8 H35 H9 H26 H0 H46 H33, false, NA, NA, NA, NA, NA, NA, NA
R41, NO_MATCH, -1, 2147483647, H4 H44 H2 H3 H23 H16 H9 H31 H15 H19 H34 H7 H48, , true, false, R100, NO_MATCH, -1, 2147483647, H2 H7 H4 H9 H15 H31 H44 H33 H5 H27 H19 H28 H6 H12 H24, H12 H24
R42, H41, 13, 1, H44 H41 H32 H38 H10 H22 H5 H40 H47 H43 H46 H4 H24 H14 H28, H44 H41 H32 H38 H10 H22 H5 H40 H47 H43 H46 H4 H24 H14 H28, false, NA, NA, NA, NA, NA, NA, NA
R43, H9, 35, 1, H37 H9 H6 H49 H41 H7 H2 H1 H33 H40 H48 H43 H45 H25 H31, H37 H9 H6 H49 H41 H7 H2 H1 H33 H40 H48 H43 H45 H25 H31, false, NA, NA, NA, NA, NA, NA, NA
R44, NO_MATCH, -1, 2147483647, H5 H37 H38 H47 H10 H24 H17 H27 H11 H31 H49 H25 H46, , true, false, R12, NO_MATCH, -1, 2147483647, H24 H11 H47 H5 H27 H49 H31 H7 H26 H37 H6 H13 H48 H36 H35, H35
R45, H1, 36, 0, H1 H31 H28 H15 H2 H19 H9 H47 H6 H40 H42 H41 H35 H25 H23, H1 H31 H28 H15 H2 H19 H9 H47 H6 H40 H42 H41 H35 H25 H23, false, NA, NA, NA, NA, NA, NA, NA
R46, H28, 25, 3, H31 H36 H37 H28 H10 H49 H26 H11 H20 H18 H38 H27 H44 H14 H15, H31 H36 H37 H28 H10 H49 H26 H11 H20 H18 H38 H27 H44 H14 H15, false, NA, NA, NA, NA, NA, NA, NA
R47, NO_MATCH, -1, 2147483647, H12 H35 H34 H18 H44 H11 H19 H24 H20 H14 H48 H21 H30 H8 H10, , true, false, R38, NO_MATCH, -1, 2147483647, H12 H11 H16 H4 H18 H35 H49 H1 H19 H44 H36 H34 H7, H34 H7
R48, NO_MATCH, -1, 2147483647, H16 H22 H47 H28 H43 H48 H15 H0 H2 H49 H20 H19 H12 H3 H35, H3 H35, true, false, R34, NO_MATCH, -1, 2147483647, H27 H39 H41 H28 H21 H47 H48 H15 H4 H22 H43 H16, H16
R49, H29, 11, 6, H44 H39 H2 H17 H32 H43 H29 H40 H21 H20 H34 H5 H9 H38 H7, H44 H39 H2 H17 H32 H43 H29 H40 H21 H20 H34 H5 H9 H38 H7, false, NA, NA, NA, NA, NA, NA, NA
R50, H4, 32, 4, H43 H39 H35 H14 H4 H36 H32 H13 H18 H40 H11 H3 H19 H6 H42, H43 H39 H35 H14 H4 H36 H32 H13 H18 H40 H11 H3 H19 H6 H42, false, NA, NA, NA, NA, NA, NA, NA
R51, H9, 35, 7, H25 H24 H1 H45 H13 H21 H36 H9 H22 H26 H32 H34 H8 H16 H5, H25 H24 H1 H45 H13 H21 H36 H9 H22 H26 H32 H34 H8 H16 H5, false, NA, NA, NA, NA, NA, NA, NA
R52, H24, 23, 12, H28 H8 H20 H23 H11 H2 H36 H49 H39 H42 H6 H15 H24 H3 H29, H28 H8 H20 H23 H11 H2 H36 H49 H39 H42 H6 H15 H24 H3 H29, false, NA, NA, NA, NA, NA, NA, NA
R53, H23, 31, 3, H28 H16 H49 H23 H2 H17 H6 H20 H39 H44 H42 H0 H32 H21 H25, H28 H16 H49 H23 H2 H17 H6 H20 H39 H44 H42 H0 H32 H21 H25, false, NA, NA, NA, NA, NA, NA, NA
R54, H21, 15, 2, H7 H15 H21 H18 H35 H1 H22 H41 H28 H5 H12 H23 H26 H42 H36, H7 H15 H21 H18 H35 H1 H22 H41 H28 H5 H12 H23 H26 H42 H36, true, true, R76, H21, 15, 6, H35 H47 H18 H2 H9 H36 H15 H21 H41 H1 H22 H7 H3, H47 H18 H2 H9 H36 H15 H21 H41 H1 H22 H7 H3
R55, H34, 12, 0, H34 H44 H17 H2 H23 H32 H5 H36 H6 H4 H13 H26 H45 H49 H21, H34 H44 H17 H2 H23 H32 H5 H36 H6 H4 H13 H26 H45 H49 H21, false, NA, NA, NA, NA, NA, NA, NA
R56, NO_MATCH, -1, 2147483647, H29 H25 H30 H47 H43 H49 H13 H8 H28 H36 H10 H18 H45 H27 H12, H12, true, false, R35, NO_MATCH, -1, 2147483647, H13 H25 H26 H29 H18 H14 H39 H30 H27 H16 H2 H47 H43 H49, 
R57, H49, 37, 3, H47 H32 H24 H49 H0 H34 H8 H33 H12 H43 H10 H3 H13 H36 H7, H47 H32 H24 H49 H0 H34 H8 H33 H12 H43 H10 H3 H13 H36 H7, false, NA, NA, NA, NA, NA, NA, NA
R58, NO_MATCH, -1, 2147483647, H10 H41 H39 H8 H28 H27 H21 H32 H5 H31 H30 H2 H3 H17 H16, H16, true, false, R140, NO_MATCH, -1, 2147483647, H31 H10 H43 H27 H13 H44 H15 H28 H41 H7 H39 H21 H8, 
R59, NO_MATCH, -1, 2147483647, H5 H34 H14 H28 H47 H37 H32 H11 H35 H6 H25 H36 H29 H20 H10, , true, false, R108, NO_MATCH, -1, 2147483647, H37 H45 H25 H33 H39 H34 H14 H32 H28 H40 H5 H48 H47 H19, 
R60, H18, 29, 14, H38 H24 H26 H30 H42 H40 H37 H2 H39 H36 H20 H8 H11 H13 H18, H38 H24 H26 H30 H42 H40 H37 H2 H39 H36 H20 H8 H11 H13 H18, false, NA, NA, NA, NA, NA, NA, NA
R61, H8, 26, 2, H32 H46 H8 H20 H45 H47 H42 H5 H26 H21 H48 H27 H38 H14 H3, H32 H46 H8 H20 H45 H47 H42 H5 H26 H21 H48 H27 H38 H14 H3, false, NA, NA, NA, NA, NA, NA, NA
R62, H48, 39, 7, H38 H23 H19 H3 H25 H40 H9 H48 H24 H7 H35 H17 H14 H44 H39, H38 H23 H19 H3 H25 H40 H9 H48 H24 H7 H35 H17 H14 H44 H39, false, NA, NA, NA, NA, NA, NA, NA
R63, NO_MATCH, -1, 2147483647, H26 H48 H11 H8 H40 H33 H3 H28 H34 H0 H6 H46 H7 H17 H19, H19, true, false, R10, NO_MATCH, -1, 2147483647, H31 H8 H21 H29 H40 H3 H5 H48 H26 H39 H6 H28 H33 H11, 
R64, H47, 16, 1, H0 H47 H19 H2 H48 H12 H34 H44 H8 H26 H24 H18 H49 H27 H10, H0 H47 H19 H2 H48 H12 H34 H44 H8 H26 H24 H18 H49 H27 H10, false, NA, NA, NA, NA, NA, NA, NA
R65, H22, 3, 3, H19 H38 H11 H22 H12 H26 H0 H1 H29 H7 H47 H8 H9 H45 H23, H19 H38 H11 H22 H12 H26 H0 H1 H29 H7 H47 H8 H9 H45 H23, false, NA, NA, NA, NA, NA, NA, NA
R66, H26, 21, 1, H5 H26 H21 H33 H39 H42 H14 H27 H12 H47 H37 H31 H41 H32 H4, H5 H26 H21 H33 H39 H42 H14 H27 H12 H47 H37 H31 H41 H32 H4, false, NA, NA, NA, NA, NA, NA, NA
R67, H8, 26, 14, H33 H7 H39 H3 H14 H20 H31 H18 H13 H6 H38 H34 H45 H41 H8, H33 H7 H39 H3 H14 H20 H31 H18 H13 H6 H38 H34 H45 H41 H8, false, NA, NA, NA, NA, NA, NA, NA
R68, H7, 15, 5, H15 H39 H32 H47 H45 H7 H25 H14 H41 H3 H21 H28 H44 H43 H27, H15 H39 H32 H47 H45 H7 H25 H14 H41 H3 H21 H28 H44 H43 H27, false, NA, NA, NA, NA, NA, NA, NA
R69, H20, 42, 10, H44 H0 H25 H46 H39 H5 H19 H10 H13 H8 H4 H20 H27 H48 H41, H0 H25 H46 H39 H5 H19 H10 H13 H8 H4 H20 H27 H48 H41, true, false, R13, H20, 42, 0, H43 H0 H46 H5 H19 H40 H45 H44 H33 H22 H4 H39 H25 H20, H20
R70, H15, 21, 2, H11 H44 H15 H32 H47 H41 H16 H0 H38 H17 H12 H26 H40 H28 H21, H11 H44 H15 H32 H47 H41 H16 H0 H38 H17 H12 H26 H40 H28 H21, false, NA, NA, NA, NA, NA, NA, NA
R71, H25, 9, 0, H25 H19 H44 H18 H10 H5 H41 H42 H17 H34 H20 H33 H39 H37 H46, H25 H19 H44 H18 H10 H5 H41 H42 H17 H34 H20 H33 H39 H37 H46, false, NA, NA, NA, NA, NA, NA, NA
R72, H10, 30, 9, H34 H15 H2 H13 H14 H28 H1 H33 H25 H10 H43 H24 H26 H37 H11, H34 H15 H2 H13 H14 H28 H1 H33 H25 H10 H43 H24 H26 H37 H11, false, NA, NA, NA, NA, NA, NA, NA
R73, H25, 9, 2, H42 H36 H25 H38 H15 H22 H28 H14 H18 H12 H26 H6 H24 H44 H31, H42 H36 H25 H38 H15 H22 H28 H14 H18 H12 H26 H6 H24 H44 H31, false, NA, NA, NA, NA, NA, NA, NA
R74, H28, 25, 11, H38 H40 H31 H16 H35 H5 H3 H23 H26 H17 H4 H28 H33 H19 H47, H38 H40 H31 H16 H35 H5 H3 H23 H26 H17 H4 H28 H33 H19 H47, false, NA, NA, NA, NA, NA, NA, NA
R75, H21, 15, 2, H18 H22 H15 H34 H47 H21 H38 H16 H33 H20 H32 H2 H19 H23 H31, H34 H47 H21 H38 H16 H33 H20 H32 H2 H19 H23 H31, true, false, R91, H21, 15, 5, H18 H16 H15 H34 H47 H39 H13 H14 H21 H22 H38 H25, H34 H47 H39 H13 H14 H21 H22 H38 H25
R76, H21, 15, 6, H35 H47 H18 H2 H9 H36 H15 H21 H41 H1 H22 H7 H3, H47 H18 H2 H9 H36 H15 H21 H41 H1 H22 H7 H3, true, false, R54, H21, 15, 2, H7 H15 H21 H18 H35 H1 H22 H41 H28 H5 H12 H23 H26 H42 H36, H7 H15 H21 H18 H35 H1 H22 H41 H28 H5 H12 H23 H26 H42 H36
R77, H30, 3, 5, H10 H49 H40 H46 H5 H30 H44 H16 H23 H6 H12 H33 H17 H4 H0, H10 H49 H40 H46 H5 H30 H44 H16 H23 H6 H12 H33 H17 H4 H0, false, NA, NA, NA, NA, NA, NA, NA
R78, H32, 7, 4, H45 H27 H30 H40 H32 H8 H42 H17 H19 H6 H48 H49 H12 H9 H21, H45 H27 H30 H40 H32 H8 H42 H17 H19 H6 H48 H49 H12 H9 H21, false, NA, NA, NA, NA, NA, NA, NA
R79, H48, 39, 0, H48 H3 H34 H4 H31 H8 H46 H13 H40 H39 H38 H10 H41 H32 H1, H48 H3 H34 H4 H31 H8 H46 H13 H40 H39 H38 H10 H41 H32 H1, false, NA, NA, NA, NA, NA, NA, NA
R80, H35, 3, 1, H23 H35 H49 H6 H27 H33 H44 H21 H12 H39 H9 H31 H3 H11 H40, H23 H35 H49 H6 H27 H33 H44 H21 H12 H39 H9 H31 H3 H11 H40, false, NA, NA, NA, NA, NA, NA, NA
R81, H18, 29, 2, H42 H21 H18 H43 H16 H34 H6 H13 H33 H8 H36 H12 H32 H15 H46, H42 H21 H18 H43 H16 H34 H6 H13 H33 H8 H36 H12 H32 H15 H46, false, NA, NA, NA, NA, NA, NA, NA
R82, NO_MATCH, -1, 2147483647, H9 H34 H17 H46 H31 H4 H45 H24 H14 H0 H44 H7 H19 H25 H33, , true, false, R139, NO_MATCH, -1, 2147483647, H34 H9 H4 H45 H17 H46 H1 H23 H41 H42 H29 H22 H31, H29 H22 H31
R83, H36, 9, 1, H9 H36 H12 H45 H1 H16 H21 H30 H0 H19 H39 H46 H44 H26 H31, H9 H36 H12 H45 H1 H16 H21 H30 H0 H19 H39 H46 H44 H26 H31, false, NA, NA, NA, NA, NA, NA, NA
R84, H18, 29, 13, H10 H1 H36 H43 H7 H46 H16 H11 H2 H9 H39 H14 H3 H18 H13, H10 H1 H36 H43 H7 H46 H16 H11 H2 H9 H39 H14 H3 H18 H13, false, NA, NA, NA, NA, NA, NA, NA
R85, H37, 45, 2, H13 H4 H37 H38 H31 H47 H15 H41 H40 H22 H28 H11 H7 H48 H3, H13 H4 H37 H38 H31 H47 H15 H41 H40 H22 H28 H11 H7 H48 H3, false, NA, NA, NA, NA, NA, NA, NA
R86, H12, 2, 11, H9 H15 H13 H10 H28 H11 H38 H24 H34 H39 H21 H12 H40 H6 H45, H9 H15 H13 H10 H28 H11 H38 H24 H34 H39 H21 H12 H40 H6 H45, false, NA, NA, NA, NA, NA, NA, NA
R87, H17, 49, 3, H35 H43 H14 H17 H20 H23 H36 H8 H44 H4 H15 H0 H32 H29 H6, H35 H43 H14 H17 H20 H23 H36 H8 H44 H4 H15 H0 H32 H29 H6, false, NA, NA, NA, NA, NA, NA, NA
R88, H23, 31, 1, H34 H23 H0 H13 H35 H47 H49 H16 H31 H11 H26 H39 H19 H40 H28, H34 H23 H0 H13 H35 H47 H49 H16 H31 H11 H26 H39 H19 H40 H28, false, NA, NA, NA, NA, NA, NA, NA
R89, H0, 42, 0, H0 H45 H12 H44 H3 H36 H49 H28 H39 H30 H34 H26 H5 H46 H21, H0 H45 H12 H44 H3 H36 H49 H28 H39 H30 H34 H26 H5 H46 H21, false, NA, NA, NA, NA, NA, NA, NA
R90, H10, 30, 10, H7 H14 H0 H27 H37 H25 H39 H23 H24 H4 H10 H18 H8 H12 H32, H7 H14 H0 H27 H37 H25 H39 H23 H24 H4 H10 H18 H8 H12 H32, false, NA, NA, NA, NA, NA, NA, NA
R91, H21, 15, 5, H18 H16 H15 H34 H47 H39 H13 H14 H21 H22 H38 H25, H34 H47 H39 H13 H14 H21 H22 H38 H25, true, false, R75, H21, 15, 2, H18 H22 H15 H34 H47 H21 H38 H16 H33 H20 H32 H2 H19 H23 H31, H34 H47 H21 H38 H16 H33 H20 H32 H2 H19 H23 H31
R92, H40, 48, 0, H40 H41 H27 H1 H49 H19 H31 H20 H25 H11 H44 H43 H38 H14 H48, H40 H41 H27 H1 H49 H19 H31 H20 H25 H11 H44 H43 H38 H14 H48, false, NA, NA, NA, NA, NA, NA, NA
R93, H33, 24, 8, H8 H6 H41 H9 H47 H29 H20 H23 H33 H0 H11 H24 H15 H48 H42, H8 H6 H41 H9 H47 H29 H20 H23 H33 H0 H11 H24 H15 H48 H42, false, NA, NA, NA, NA, NA, NA, NA
R94, H16, 18, 7, H17 H34 H19 H25 H35 H23 H27 H16 H21 H32 H14 H15 H30 H48 H1, H17 H34 H19 H25 H35 H23 H27 H16 H21 H32 H14 H15 H30 H48 H1, false, NA, NA, NA, NA, NA, NA, NA
R95, H42, 27, 9, H45 H20 H39 H14 H2 H33 H13 H0 H30 H42 H15 H31 H6 H19 H48, H45 H20 H39 H14 H2 H33 H13 H0 H30 H42 H15 H31 H6 H19 H48, false, NA, NA, NA, NA, NA, NA, NA
R96, H7, 15, 12, H39 H14 H1 H47 H13 H8 H12 H5 H11 H2 H46 H10 H7 H4 H45, H39 H14 H1 H47 H13 H8 H12 H5 H11 H2 H46 H10 H7 H4 H45, false, NA, NA, NA, NA, NA, NA, NA
R97, H2, 49, 0, H2 H14 H13 H25 H0 H44 H15 H29 H35 H12 H24 H30 H28 H5 H37, H2 H14 H13 H25 H0 H44 H15 H29 H35 H12 H24 H30 H28 H5 H37, false, NA, NA, NA, NA, NA, NA, NA
R98, NO_MATCH, -1, 2147483647, H9 H10 H21 H29 H37 H43 H42 H44 H30 H11 H19 H15 H13 H22 H6, , true, false, R9, NO_MATCH, -1, 2147483647, H23 H20 H9 H28 H21 H31 H42 H39 H10 H1 H43 H29 H33 H37, 
R99, H34, 12, 3, H25 H27 H33 H34 H1 H38 H21 H31 H9 H35 H16 H2 H17 H41 H29, H25 H27 H33 H34 H1 H38 H21 H31 H9 H35 H16 H2 H17 H41 H29, false, NA, NA, NA, NA, NA, NA, NA
R100, NO_MATCH, -1, 2147483647, H2 H7 H4 H9 H15 H31 H44 H33 H5 H27 H19 H28 H6 H12 H24, H12 H24, true, false, R41, NO_MATCH, -1, 2147483647, H4 H44 H2 H3 H23 H16 H9 H31 H15 H19 H34 H7 H48, 
R101, H26, 21, 8, H18 H49 H0 H4 H6 H37 H39 H34 H26 H41 H23 H44 H47 H36 H43, H18 H49 H0 H4 H6 H37 H39 H34 H26 H41 H23 H44 H47 H36 H43, false, NA, NA, NA, NA, NA, NA, NA
R102, H25, 9, 2, H24 H35 H25 H20 H27 H34 H0 H12 H22 H45 H19 H16 H28 H32 H31, H24 H35 H25 H20 H27 H34 H0 H12 H22 H45 H19 H16 H28 H32 H31, false, NA, NA, NA, NA, NA, NA, NA
R103, H2, 49, 7, H47 H28 H5 H34 H4 H33 H0 H2 H41 H42 H20 H19 H17 H46 H11, H47 H28 H5 H34 H4 H33 H0 H2 H41 H42 H20 H19 H17 H46 H11, false, NA, NA, NA, NA, NA, NA, NA
R104, H13, 32, 3, H20 H5 H43 H13 H18 H21 H44 H32 H2 H41 H3 H15 H35 H45 H34, H20 H5 H43 H13 H18 H21 H44 H32 H2 H41 H3 H15 H35 H45 H34, false, NA, NA, NA, NA, NA, NA, NA
